id,label,subject,email
369,spam,Limited Time Offer,Your bank account has been suspended. Confirm your credentials immediately.
370,spam,Free Gift,Congratulations! You won a brand new smartphone. Pay a small processing fee.
371,ham,Meeting Reminder,Can we have lunch tomorrow around 4:00 PM? Let me know if that works.
372,ham,Project Update,I've shared the project files in the team drive. Please review them before tomorrow.
373,ham,Project Update,I've shared the project files in the team drive. Please review them before tomorrow.
374,ham,Vacation Photos,"Hi Ankit, just a reminder that our meeting is scheduled for Tuesday at 4:00 PM."
375,spam,Free Gift,Invest in our crypto platform and double your investment in 7 days.
376,spam,Exclusive Deal,Your parcel is waiting. Confirm your shipping address to avoid return.
377,ham,Invoice Attached,I've shared the project files in the team drive. Please review them before tomorrow.
378,spam,Account Alert,Your bank account has been suspended. Confirm your credentials immediately.
379,spam,Urgent Action Required,Invest in our crypto platform and double your investment in 7 days.
380,spam,Crypto Opportunity,Congratulations! You won a brand new smartphone. Pay a small processing fee.
381,spam,Limited Time Offer,Invest in our crypto platform and double your investment in 7 days.
382,spam,Limited Time Offer,Invest in our crypto platform and double your investment in 7 days.
383,ham,Vacation Photos,Here are the class notes from today's lecture. Let me know if anything is unclear.
384,spam,Account Alert,Final reminder: Your subscription expires today. Update your payment details.
385,spam,Urgent Action Required,Your parcel is waiting. Confirm your shipping address to avoid return.
386,spam,Crypto Opportunity,Congratulations! You won a brand new smartphone. Pay a small processing fee.
387,spam,Exclusive Deal,Your bank account has been suspended. Confirm your credentials immediately.
388,spam,Congratulations!,Earn money fast from home with no experience. Register today.
389,ham,Meeting Reminder,"Hi Riya, just a reminder that our meeting is scheduled for Wednesday at 10:00 AM."
390,ham,Interview Schedule,I've shared the project files in the team drive. Please review them before tomorrow.
391,ham,Invoice Attached,Thank you for your payment. Your invoice is attached for your records.
392,spam,Lottery Winner,Earn money fast from home with no experience. Register today.
393,ham,Project Update,I've shared the project files in the team drive. Please review them before tomorrow.
394,ham,Lunch Plan,Here are the class notes from today's lecture. Let me know if anything is unclear.
395,ham,Family Get Together,Can we have lunch tomorrow around 4:00 PM? Let me know if that works.
396,ham,Meeting Reminder,Here are the class notes from today's lecture. Let me know if anything is unclear.
397,spam,Claim Your Prize,You have been selected to receive a $1000 reward. Click the link to verify your account.
398,ham,Interview Schedule,Please find the attached report for this week's progress. Let me know your feedback.
399,ham,Invoice Attached,Thank you for your payment. Your invoice is attached for your records.
400,ham,Lunch Plan,Thank you for your payment. Your invoice is attached for your records.
401,spam,Lottery Winner,Invest in our crypto platform and double your investment in 7 days.
402,spam,Win Big Today,Exclusive offer! Get 50% off on premium products. Buy now.
403,ham,Vacation Photos,Thank you for your payment. Your invoice is attached for your records.
404,ham,Interview Schedule,Here are the class notes from today's lecture. Let me know if anything is unclear.
405,ham,Lunch Plan,Here are the class notes from today's lecture. Let me know if anything is unclear.
406,ham,Lunch Plan,I've shared the project files in the team drive. Please review them before tomorrow.
407,spam,Lottery Winner,Exclusive offer! Get 30% off on premium products. Buy now.
408,spam,Exclusive Deal,Final reminder: Your subscription expires today. Update your payment details.
409,spam,Exclusive Deal,Earn money fast from home with no experience. Register today.
410,ham,Class Notes,Can we have lunch tomorrow around 4:00 PM? Let me know if that works.
411,spam,Crypto Opportunity,Your bank account has been suspended. Confirm your credentials immediately.
412,spam,Urgent Action Required,Invest in our crypto platform and double your investment in 7 days.
413,ham,Invoice Attached,"Hi Neha, just a reminder that our meeting is scheduled for Monday at 4:00 PM."
414,ham,Weekly Report,Here are the class notes from today's lecture. Let me know if anything is unclear.
415,ham,Lunch Plan,Please find the attached report for this week's progress. Let me know your feedback.
416,ham,Project Update,Happy birthday! Hope you have a wonderful day with your family.
417,ham,Meeting Reminder,Please find the attached report for this week's progress. Let me know your feedback.
418,spam,Urgent Action Required,You have been selected to receive a $5000 reward. Click the link to verify your account.
419,ham,Weekly Report,Your appointment with Dr. Sharma is confirmed for Monday.
420,ham,Project Update,"Hi Aman, just a reminder that our meeting is scheduled for Tuesday at 2:30 PM."
421,ham,Invoice Attached,Here are the class notes from today's lecture. Let me know if anything is unclear.
422,ham,Meeting Reminder,"Hi Neha, just a reminder that our meeting is scheduled for Tuesday at 10:00 AM."
423,spam,Account Alert,Your parcel is waiting. Confirm your shipping address to avoid return.
424,ham,Interview Schedule,Can we have lunch tomorrow around 2:30 PM? Let me know if that works.
425,ham,Family Get Together,I've shared the project files in the team drive. Please review them before tomorrow.
426,ham,Doctor Appointment,Your appointment with Dr. Sharma is confirmed for Monday.
427,ham,Meeting Reminder,Here are the class notes from today's lecture. Let me know if anything is unclear.
428,ham,Meeting Reminder,I've shared the project files in the team drive. Please review them before tomorrow.
429,ham,Lunch Plan,Here are the class notes from today's lecture. Let me know if anything is unclear.
430,spam,Lottery Winner,Earn money fast from home with no experience. Register today.
431,ham,Class Notes,Thank you for your payment. Your invoice is attached for your records.
432,ham,Weekly Report,Happy birthday! Hope you have a wonderful day with your family.
433,spam,Win Big Today,You have been selected to receive a $250 reward. Click the link to verify your account.
434,spam,Claim Your Prize,Congratulations! You won a brand new smartphone. Pay a small processing fee.
435,ham,Invoice Attached,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
436,ham,Class Notes,Your appointment with Dr. Sharma is confirmed for Friday.
437,ham,Meeting Reminder,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
438,spam,Account Alert,Congratulations! You won a brand new smartphone. Pay a small processing fee.
439,spam,Claim Your Prize,Exclusive offer! Get 80% off on premium products. Buy now.
440,spam,Account Alert,Final reminder: Your subscription expires today. Update your payment details.
441,ham,Doctor Appointment,Here are the class notes from today's lecture. Let me know if anything is unclear.
442,spam,Claim Your Prize,Exclusive offer! Get 30% off on premium products. Buy now.
443,spam,Exclusive Deal,Your bank account has been suspended. Confirm your credentials immediately.
444,ham,Doctor Appointment,Happy birthday! Hope you have a wonderful day with your family.
445,ham,Interview Schedule,Here are the class notes from today's lecture. Let me know if anything is unclear.
446,spam,Free Gift,Invest in our crypto platform and double your investment in 7 days.
447,ham,Invoice Attached,I've shared the project files in the team drive. Please review them before tomorrow.
448,spam,Lottery Winner,Congratulations! You won a brand new smartphone. Pay a small processing fee.
449,ham,Meeting Reminder,Thank you for your payment. Your invoice is attached for your records.
450,spam,Free Gift,Invest in our crypto platform and double your investment in 7 days.
451,ham,Project Update,Thank you for your payment. Your invoice is attached for your records.
452,spam,Claim Your Prize,Final reminder: Your subscription expires today. Update your payment details.
453,spam,Congratulations!,Congratulations! You won a brand new smartphone. Pay a small processing fee.
454,ham,Project Update,Thank you for your payment. Your invoice is attached for your records.
455,ham,Vacation Photos,"Hi Rahul, just a reminder that our meeting is scheduled for Tuesday at 6:00 PM."
456,spam,Free Gift,Congratulations! You won a brand new smartphone. Pay a small processing fee.
457,ham,Project Update,Here are the class notes from today's lecture. Let me know if anything is unclear.
458,spam,Congratulations!,Final reminder: Your subscription expires today. Update your payment details.
459,spam,Lottery Winner,Exclusive offer! Get 60% off on premium products. Buy now.
460,ham,Class Notes,"Hi Riya, just a reminder that our meeting is scheduled for Friday at 2:30 PM."
461,spam,Limited Time Offer,Congratulations! You won a brand new smartphone. Pay a small processing fee.
462,ham,Interview Schedule,Thank you for your payment. Your invoice is attached for your records.
463,ham,Invoice Attached,Here are the class notes from today's lecture. Let me know if anything is unclear.
464,ham,Weekly Report,Thank you for your payment. Your invoice is attached for your records.
465,ham,Class Notes,Can we have lunch tomorrow around 6:00 PM? Let me know if that works.
466,ham,Class Notes,Here are the class notes from today's lecture. Let me know if anything is unclear.
467,ham,Weekly Report,Please find the attached report for this week's progress. Let me know your feedback.
468,ham,Project Update,Happy birthday! Hope you have a wonderful day with your family.
469,ham,Family Get Together,"Hi Priya, just a reminder that our meeting is scheduled for Wednesday at 10:00 AM."
470,spam,Congratulations!,Your bank account has been suspended. Confirm your credentials immediately.
471,ham,Weekly Report,Please find the attached report for this week's progress. Let me know your feedback.
472,spam,Crypto Opportunity,Invest in our crypto platform and double your investment in 7 days.
473,ham,Class Notes,Happy birthday! Hope you have a wonderful day with your family.
474,ham,Doctor Appointment,"Hi Ankit, just a reminder that our meeting is scheduled for Monday at 2:30 PM."
475,spam,Crypto Opportunity,Invest in our crypto platform and double your investment in 7 days.
476,ham,Project Update,Your appointment with Dr. Sharma is confirmed for Tuesday.
477,spam,Win Big Today,Your parcel is waiting. Confirm your shipping address to avoid return.
478,ham,Meeting Reminder,I've shared the project files in the team drive. Please review them before tomorrow.
479,spam,Account Alert,Earn money fast from home with no experience. Register today.
480,spam,Limited Time Offer,Invest in our crypto platform and double your investment in 7 days.
481,ham,Family Get Together,Happy birthday! Hope you have a wonderful day with your family.
482,ham,Family Get Together,Your appointment with Dr. Sharma is confirmed for Friday.
483,ham,Vacation Photos,Happy birthday! Hope you have a wonderful day with your family.
484,ham,Invoice Attached,"Hi Meera, just a reminder that our meeting is scheduled for Thursday at 2:30 PM."
485,ham,Family Get Together,Happy birthday! Hope you have a wonderful day with your family.
486,ham,Invoice Attached,Happy birthday! Hope you have a wonderful day with your family.
487,ham,Invoice Attached,Here are the class notes from today's lecture. Let me know if anything is unclear.
488,spam,Lottery Winner,Your parcel is waiting. Confirm your shipping address to avoid return.
489,spam,Win Big Today,Congratulations! You won a brand new smartphone. Pay a small processing fee.
490,ham,Weekly Report,Happy birthday! Hope you have a wonderful day with your family.
491,ham,Family Get Together,Happy birthday! Hope you have a wonderful day with your family.
492,ham,Class Notes,Thank you for your payment. Your invoice is attached for your records.
493,spam,Crypto Opportunity,Your bank account has been suspended. Confirm your credentials immediately.
494,spam,Account Alert,Exclusive offer! Get 30% off on premium products. Buy now.
495,spam,Free Gift,Invest in our crypto platform and double your investment in 7 days.
496,spam,Crypto Opportunity,Earn money fast from home with no experience. Register today.
497,spam,Free Gift,Invest in our crypto platform and double your investment in 7 days.
498,ham,Interview Schedule,Thank you for your payment. Your invoice is attached for your records.
499,ham,Doctor Appointment,Thank you for your payment. Your invoice is attached for your records.
500,ham,Weekly Report,Thank you for your payment. Your invoice is attached for your records.
501,ham,Interview Schedule,I've shared the project files in the team drive. Please review them before tomorrow.
502,spam,Exclusive Deal,Invest in our crypto platform and double your investment in 7 days.
503,ham,Project Update,I've shared the project files in the team drive. Please review them before tomorrow.
504,ham,Invoice Attached,Happy birthday! Hope you have a wonderful day with your family.
505,spam,Win Big Today,Earn money fast from home with no experience. Register today.
506,ham,Project Update,Happy birthday! Hope you have a wonderful day with your family.
507,ham,Weekly Report,Thank you for your payment. Your invoice is attached for your records.
508,ham,Project Update,Happy birthday! Hope you have a wonderful day with your family.
509,spam,Free Gift,Your parcel is waiting. Confirm your shipping address to avoid return.
510,spam,Win Big Today,Earn money fast from home with no experience. Register today.
511,ham,Meeting Reminder,Thank you for your payment. Your invoice is attached for your records.
512,spam,Limited Time Offer,Exclusive offer! Get 60% off on premium products. Buy now.
513,spam,Win Big Today,Congratulations! You won a brand new smartphone. Pay a small processing fee.
514,spam,Free Gift,Congratulations! You won a brand new smartphone. Pay a small processing fee.
515,ham,Class Notes,Here are the class notes from today's lecture. Let me know if anything is unclear.
516,ham,Weekly Report,Please find the attached report for this week's progress. Let me know your feedback.
517,ham,Interview Schedule,Thank you for your payment. Your invoice is attached for your records.
518,spam,Congratulations!,Exclusive offer! Get 40% off on premium products. Buy now.
519,ham,Weekly Report,Please find the attached report for this week's progress. Let me know your feedback.
520,spam,Win Big Today,Your parcel is waiting. Confirm your shipping address to avoid return.
521,ham,Lunch Plan,I've shared the project files in the team drive. Please review them before tomorrow.
522,ham,Invoice Attached,Happy birthday! Hope you have a wonderful day with your family.
523,ham,Family Get Together,Please find the attached report for this week's progress. Let me know your feedback.
524,ham,Weekly Report,Your appointment with Dr. Sharma is confirmed for Wednesday.
525,ham,Vacation Photos,"Hi Meera, just a reminder that our meeting is scheduled for Monday at 2:30 PM."
526,ham,Family Get Together,Here are the class notes from today's lecture. Let me know if anything is unclear.
527,spam,Urgent Action Required,Your bank account has been suspended. Confirm your credentials immediately.
528,spam,Win Big Today,Invest in our crypto platform and double your investment in 7 days.
529,spam,Exclusive Deal,Your parcel is waiting. Confirm your shipping address to avoid return.
530,spam,Exclusive Deal,Invest in our crypto platform and double your investment in 7 days.
531,ham,Lunch Plan,Here are the class notes from today's lecture. Let me know if anything is unclear.
532,spam,Free Gift,Your bank account has been suspended. Confirm your credentials immediately.
533,spam,Claim Your Prize,Your bank account has been suspended. Confirm your credentials immediately.
534,spam,Win Big Today,Final reminder: Your subscription expires today. Update your payment details.
535,spam,Win Big Today,Earn money fast from home with no experience. Register today.
536,ham,Interview Schedule,"Hi Priya, just a reminder that our meeting is scheduled for Friday at 6:00 PM."
537,ham,Class Notes,"Hi Meera, just a reminder that our meeting is scheduled for Wednesday at 10:00 AM."
538,ham,Invoice Attached,Your appointment with Dr. Sharma is confirmed for Friday.
539,spam,Urgent Action Required,Exclusive offer! Get 70% off on premium products. Buy now.
540,ham,Family Get Together,Happy birthday! Hope you have a wonderful day with your family.
541,ham,Vacation Photos,"Hi Aman, just a reminder that our meeting is scheduled for Tuesday at 2:30 PM."
542,ham,Family Get Together,Your appointment with Dr. Sharma is confirmed for Wednesday.
543,ham,Lunch Plan,Here are the class notes from today's lecture. Let me know if anything is unclear.
544,spam,Account Alert,Your bank account has been suspended. Confirm your credentials immediately.
545,ham,Class Notes,Here are the class notes from today's lecture. Let me know if anything is unclear.
546,spam,Claim Your Prize,Earn money fast from home with no experience. Register today.
547,ham,Project Update,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
548,spam,Urgent Action Required,Congratulations! You won a brand new smartphone. Pay a small processing fee.
549,spam,Urgent Action Required,Invest in our crypto platform and double your investment in 7 days.
550,ham,Project Update,Here are the class notes from today's lecture. Let me know if anything is unclear.
551,ham,Doctor Appointment,Thank you for your payment. Your invoice is attached for your records.
552,spam,Claim Your Prize,Invest in our crypto platform and double your investment in 7 days.
553,spam,Limited Time Offer,Your bank account has been suspended. Confirm your credentials immediately.
554,ham,Lunch Plan,Thank you for your payment. Your invoice is attached for your records.
555,ham,Invoice Attached,I've shared the project files in the team drive. Please review them before tomorrow.
556,spam,Win Big Today,Exclusive offer! Get 30% off on premium products. Buy now.
557,ham,Meeting Reminder,I've shared the project files in the team drive. Please review them before tomorrow.
558,ham,Lunch Plan,Please find the attached report for this week's progress. Let me know your feedback.
559,spam,Crypto Opportunity,Congratulations! You won a brand new smartphone. Pay a small processing fee.
560,ham,Class Notes,Here are the class notes from today's lecture. Let me know if anything is unclear.
561,spam,Account Alert,Your bank account has been suspended. Confirm your credentials immediately.
562,ham,Class Notes,Thank you for your payment. Your invoice is attached for your records.
563,ham,Doctor Appointment,I've shared the project files in the team drive. Please review them before tomorrow.
564,spam,Urgent Action Required,Your bank account has been suspended. Confirm your credentials immediately.
565,spam,Exclusive Deal,Exclusive offer! Get 70% off on premium products. Buy now.
566,ham,Class Notes,Your appointment with Dr. Sharma is confirmed for Thursday.
567,ham,Class Notes,Here are the class notes from today's lecture. Let me know if anything is unclear.
568,ham,Vacation Photos,Your appointment with Dr. Sharma is confirmed for Wednesday.
569,spam,Exclusive Deal,Earn money fast from home with no experience. Register today.
570,spam,Urgent Action Required,Congratulations! You won a brand new smartphone. Pay a small processing fee.
571,ham,Class Notes,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
572,spam,Limited Time Offer,Invest in our crypto platform and double your investment in 7 days.
573,spam,Crypto Opportunity,Congratulations! You won a brand new smartphone. Pay a small processing fee.
574,ham,Interview Schedule,I've shared the project files in the team drive. Please review them before tomorrow.
575,ham,Meeting Reminder,Thank you for your payment. Your invoice is attached for your records.
576,spam,Lottery Winner,Invest in our crypto platform and double your investment in 7 days.
577,ham,Interview Schedule,Your appointment with Dr. Sharma is confirmed for Friday.
578,ham,Invoice Attached,Thank you for your payment. Your invoice is attached for your records.
579,spam,Free Gift,Exclusive offer! Get 70% off on premium products. Buy now.
580,spam,Exclusive Deal,You have been selected to receive a $100 reward. Click the link to verify your account.
581,ham,Lunch Plan,I've shared the project files in the team drive. Please review them before tomorrow.
582,ham,Doctor Appointment,Happy birthday! Hope you have a wonderful day with your family.
583,ham,Family Get Together,I've shared the project files in the team drive. Please review them before tomorrow.
584,spam,Urgent Action Required,Your parcel is waiting. Confirm your shipping address to avoid return.
585,spam,Limited Time Offer,Congratulations! You won a brand new smartphone. Pay a small processing fee.
586,spam,Exclusive Deal,Exclusive offer! Get 40% off on premium products. Buy now.
587,ham,Invoice Attached,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
588,ham,Class Notes,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
589,spam,Urgent Action Required,Exclusive offer! Get 40% off on premium products. Buy now.
590,spam,Congratulations!,Congratulations! You won a brand new smartphone. Pay a small processing fee.
591,ham,Lunch Plan,Thank you for your payment. Your invoice is attached for your records.
592,spam,Lottery Winner,Final reminder: Your subscription expires today. Update your payment details.
593,ham,Class Notes,Your appointment with Dr. Sharma is confirmed for Tuesday.
594,ham,Weekly Report,Happy birthday! Hope you have a wonderful day with your family.
595,ham,Doctor Appointment,Thank you for your payment. Your invoice is attached for your records.
596,spam,Lottery Winner,You have been selected to receive a $500 reward. Click the link to verify your account.
597,ham,Interview Schedule,Here are the class notes from today's lecture. Let me know if anything is unclear.
598,spam,Free Gift,Congratulations! You won a brand new smartphone. Pay a small processing fee.
599,spam,Free Gift,Congratulations! You won a brand new smartphone. Pay a small processing fee.
600,spam,Win Big Today,Final reminder: Your subscription expires today. Update your payment details.
601,spam,Win Big Today,You have been selected to receive a $250 reward. Click the link to verify your account.
602,ham,Class Notes,I've shared the project files in the team drive. Please review them before tomorrow.
603,spam,Congratulations!,Your parcel is waiting. Confirm your shipping address to avoid return.
604,ham,Vacation Photos,"Hi Aman, just a reminder that our meeting is scheduled for Friday at 10:00 AM."
605,ham,Invoice Attached,"Hi Meera, just a reminder that our meeting is scheduled for Monday at 11:15 AM."
606,ham,Class Notes,I've shared the project files in the team drive. Please review them before tomorrow.
607,spam,Free Gift,Final reminder: Your subscription expires today. Update your payment details.
608,spam,Win Big Today,Your parcel is waiting. Confirm your shipping address to avoid return.
609,spam,Exclusive Deal,Congratulations! You won a brand new smartphone. Pay a small processing fee.
610,spam,Claim Your Prize,Your parcel is waiting. Confirm your shipping address to avoid return.
611,spam,Exclusive Deal,Congratulations! You won a brand new smartphone. Pay a small processing fee.
612,spam,Win Big Today,Final reminder: Your subscription expires today. Update your payment details.
613,spam,Limited Time Offer,Your bank account has been suspended. Confirm your credentials immediately.
614,ham,Project Update,Thank you for your payment. Your invoice is attached for your records.
615,spam,Account Alert,Congratulations! You won a brand new smartphone. Pay a small processing fee.
616,spam,Claim Your Prize,Your bank account has been suspended. Confirm your credentials immediately.
617,ham,Lunch Plan,Happy birthday! Hope you have a wonderful day with your family.
618,ham,Family Get Together,Here are the class notes from today's lecture. Let me know if anything is unclear.
619,ham,Meeting Reminder,Can we have lunch tomorrow around 6:00 PM? Let me know if that works.
620,spam,Claim Your Prize,Earn money fast from home with no experience. Register today.
621,spam,Free Gift,You have been selected to receive a $250 reward. Click the link to verify your account.
622,spam,Exclusive Deal,You have been selected to receive a $10000 reward. Click the link to verify your account.
623,ham,Class Notes,Happy birthday! Hope you have a wonderful day with your family.
624,spam,Free Gift,Earn money fast from home with no experience. Register today.
625,spam,Crypto Opportunity,Exclusive offer! Get 70% off on premium products. Buy now.
626,spam,Win Big Today,Earn money fast from home with no experience. Register today.
627,ham,Interview Schedule,Your appointment with Dr. Sharma is confirmed for Friday.
628,spam,Exclusive Deal,Earn money fast from home with no experience. Register today.
629,spam,Limited Time Offer,You have been selected to receive a $100 reward. Click the link to verify your account.
630,spam,Urgent Action Required,Your bank account has been suspended. Confirm your credentials immediately.
631,ham,Interview Schedule,Happy birthday! Hope you have a wonderful day with your family.
632,ham,Interview Schedule,Here are the class notes from today's lecture. Let me know if anything is unclear.
633,ham,Vacation Photos,Happy birthday! Hope you have a wonderful day with your family.
634,ham,Project Update,Please find the attached report for this week's progress. Let me know your feedback.
635,spam,Account Alert,Earn money fast from home with no experience. Register today.
636,spam,Win Big Today,Your bank account has been suspended. Confirm your credentials immediately.
637,spam,Limited Time Offer,Your bank account has been suspended. Confirm your credentials immediately.
638,spam,Congratulations!,Earn money fast from home with no experience. Register today.
639,ham,Meeting Reminder,"Hi Riya, just a reminder that our meeting is scheduled for Tuesday at 2:30 PM."
640,spam,Account Alert,Invest in our crypto platform and double your investment in 7 days.
641,ham,Family Get Together,Please find the attached report for this week's progress. Let me know your feedback.
642,ham,Invoice Attached,I've shared the project files in the team drive. Please review them before tomorrow.
643,spam,Win Big Today,Congratulations! You won a brand new smartphone. Pay a small processing fee.
644,spam,Congratulations!,Exclusive offer! Get 50% off on premium products. Buy now.
645,spam,Free Gift,Invest in our crypto platform and double your investment in 7 days.
646,ham,Interview Schedule,Can we have lunch tomorrow around 2:30 PM? Let me know if that works.
647,spam,Free Gift,Final reminder: Your subscription expires today. Update your payment details.
648,ham,Meeting Reminder,Please find the attached report for this week's progress. Let me know your feedback.
649,ham,Project Update,I've shared the project files in the team drive. Please review them before tomorrow.
650,ham,Invoice Attached,Thank you for your payment. Your invoice is attached for your records.
651,spam,Limited Time Offer,Earn money fast from home with no experience. Register today.
652,spam,Win Big Today,Earn money fast from home with no experience. Register today.
653,spam,Claim Your Prize,Your parcel is waiting. Confirm your shipping address to avoid return.
654,spam,Lottery Winner,You have been selected to receive a $100 reward. Click the link to verify your account.
655,spam,Crypto Opportunity,Invest in our crypto platform and double your investment in 7 days.
656,ham,Interview Schedule,Your appointment with Dr. Sharma is confirmed for Thursday.
657,spam,Win Big Today,Your bank account has been suspended. Confirm your credentials immediately.
658,spam,Claim Your Prize,Earn money fast from home with no experience. Register today.
659,ham,Class Notes,Please find the attached report for this week's progress. Let me know your feedback.
660,ham,Invoice Attached,Thank you for your payment. Your invoice is attached for your records.
661,ham,Class Notes,Thank you for your payment. Your invoice is attached for your records.
662,spam,Crypto Opportunity,Final reminder: Your subscription expires today. Update your payment details.
663,spam,Crypto Opportunity,Exclusive offer! Get 30% off on premium products. Buy now.
664,spam,Free Gift,Exclusive offer! Get 60% off on premium products. Buy now.
665,spam,Urgent Action Required,You have been selected to receive a $5000 reward. Click the link to verify your account.
666,ham,Doctor Appointment,"Hi Sneha, just a reminder that our meeting is scheduled for Monday at 4:00 PM."
667,spam,Account Alert,Final reminder: Your subscription expires today. Update your payment details.
668,spam,Free Gift,Final reminder: Your subscription expires today. Update your payment details.
669,ham,Invoice Attached,I've shared the project files in the team drive. Please review them before tomorrow.
670,ham,Vacation Photos,Here are the class notes from today's lecture. Let me know if anything is unclear.
671,spam,Account Alert,Earn money fast from home with no experience. Register today.
672,spam,Crypto Opportunity,Earn money fast from home with no experience. Register today.
673,ham,Class Notes,Please find the attached report for this week's progress. Let me know your feedback.
674,ham,Family Get Together,Can we have lunch tomorrow around 10:00 AM? Let me know if that works.
675,ham,Project Update,Your appointment with Dr. Sharma is confirmed for Wednesday.
676,spam,Urgent Action Required,Invest in our crypto platform and double your investment in 7 days.
677,ham,Vacation Photos,Please find the attached report for this week's progress. Let me know your feedback.
678,spam,Claim Your Prize,Earn money fast from home with no experience. Register today.
679,ham,Family Get Together,I've shared the project files in the team drive. Please review them before tomorrow.
680,ham,Interview Schedule,"Hi Rahul, just a reminder that our meeting is scheduled for Monday at 11:15 AM."
681,ham,Class Notes,I've shared the project files in the team drive. Please review them before tomorrow.
682,ham,Class Notes,Can we have lunch tomorrow around 2:30 PM? Let me know if that works.
683,ham,Vacation Photos,"Hi Rahul, just a reminder that our meeting is scheduled for Wednesday at 11:15 AM."
684,spam,Urgent Action Required,Your bank account has been suspended. Confirm your credentials immediately.
685,ham,Vacation Photos,Your appointment with Dr. Sharma is confirmed for Wednesday.
686,ham,Class Notes,Happy birthday! Hope you have a wonderful day with your family.
687,ham,Interview Schedule,"Hi Meera, just a reminder that our meeting is scheduled for Friday at 4:00 PM."
688,ham,Invoice Attached,Here are the class notes from today's lecture. Let me know if anything is unclear.
689,spam,Urgent Action Required,Your bank account has been suspended. Confirm your credentials immediately.
690,ham,Class Notes,"Hi Rahul, just a reminder that our meeting is scheduled for Monday at 10:00 AM."
691,ham,Class Notes,Can we have lunch tomorrow around 10:00 AM? Let me know if that works.
692,spam,Congratulations!,Invest in our crypto platform and double your investment in 7 days.
693,spam,Congratulations!,Final reminder: Your subscription expires today. Update your payment details.
694,spam,Congratulations!,You have been selected to receive a $1000 reward. Click the link to verify your account.
695,ham,Interview Schedule,Please find the attached report for this week's progress. Let me know your feedback.
696,ham,Weekly Report,Your appointment with Dr. Sharma is confirmed for Monday.
697,spam,Lottery Winner,Invest in our crypto platform and double your investment in 7 days.
698,spam,Crypto Opportunity,Final reminder: Your subscription expires today. Update your payment details.
699,spam,Free Gift,Your bank account has been suspended. Confirm your credentials immediately.
700,ham,Family Get Together,I've shared the project files in the team drive. Please review them before tomorrow.
701,spam,Free Gift,You have been selected to receive a $10000 reward. Click the link to verify your account.
702,ham,Project Update,Here are the class notes from today's lecture. Let me know if anything is unclear.
703,spam,Free Gift,Earn money fast from home with no experience. Register today.
704,ham,Family Get Together,Your appointment with Dr. Sharma is confirmed for Monday.
705,spam,Congratulations!,You have been selected to receive a $5000 reward. Click the link to verify your account.
706,ham,Class Notes,Thank you for your payment. Your invoice is attached for your records.
707,ham,Weekly Report,Thank you for your payment. Your invoice is attached for your records.
708,ham,Weekly Report,I've shared the project files in the team drive. Please review them before tomorrow.
709,spam,Win Big Today,Your parcel is waiting. Confirm your shipping address to avoid return.
710,spam,Limited Time Offer,Invest in our crypto platform and double your investment in 7 days.
711,ham,Doctor Appointment,Happy birthday! Hope you have a wonderful day with your family.
712,spam,Claim Your Prize,Final reminder: Your subscription expires today. Update your payment details.
713,spam,Lottery Winner,Invest in our crypto platform and double your investment in 7 days.
714,spam,Win Big Today,Final reminder: Your subscription expires today. Update your payment details.
715,ham,Class Notes,Can we have lunch tomorrow around 4:00 PM? Let me know if that works.
716,ham,Family Get Together,Thank you for your payment. Your invoice is attached for your records.
717,ham,Project Update,Can we have lunch tomorrow around 2:30 PM? Let me know if that works.
718,ham,Family Get Together,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
719,spam,Urgent Action Required,You have been selected to receive a $250 reward. Click the link to verify your account.
720,ham,Weekly Report,"Hi Neha, just a reminder that our meeting is scheduled for Tuesday at 10:00 AM."
721,spam,Urgent Action Required,Your parcel is waiting. Confirm your shipping address to avoid return.
722,spam,Lottery Winner,Your parcel is waiting. Confirm your shipping address to avoid return.
723,ham,Project Update,Can we have lunch tomorrow around 6:00 PM? Let me know if that works.
724,spam,Exclusive Deal,Your bank account has been suspended. Confirm your credentials immediately.
725,ham,Invoice Attached,Your appointment with Dr. Sharma is confirmed for Monday.
726,ham,Family Get Together,Happy birthday! Hope you have a wonderful day with your family.
727,spam,Lottery Winner,Congratulations! You won a brand new smartphone. Pay a small processing fee.
728,spam,Claim Your Prize,Exclusive offer! Get 70% off on premium products. Buy now.
729,spam,Crypto Opportunity,Your bank account has been suspended. Confirm your credentials immediately.
730,spam,Exclusive Deal,You have been selected to receive a $1000 reward. Click the link to verify your account.
731,spam,Limited Time Offer,Congratulations! You won a brand new smartphone. Pay a small processing fee.
732,spam,Lottery Winner,Congratulations! You won a brand new smartphone. Pay a small processing fee.
733,spam,Limited Time Offer,Final reminder: Your subscription expires today. Update your payment details.
734,ham,Class Notes,I've shared the project files in the team drive. Please review them before tomorrow.
735,ham,Meeting Reminder,Can we have lunch tomorrow around 2:30 PM? Let me know if that works.
736,ham,Weekly Report,Can we have lunch tomorrow around 10:00 AM? Let me know if that works.
